Katalog Villa,,,,,,,,
"Isi katalog villa: nama vila, harga weekday, harga weekend, link galeri Google Drive, dan fasilitas.",,,,,,,,
,,,,,,,,
No,Nama Vila,Harga Weekday,Harga Weekend,KAPASITAS,Galeri Google Drive,Fasilitas,Status Data,Status Data
1,AB VILLA,Rp 2.500.000,Rp 3.500.000,25-30,AB Villa,"4 kamar tidur,free 4 extra bed,5 kamar mandi,kolam renang,karaoke,billyar,wifi",Belum Lengkap,
2,Sea Villa 2,Rp 1.250.000,Rp 2.000.000,15-20,https://drive.google.com/drive/folders/1-KGxbUQcvSyVeiDhGYx977miA5lViWtv?usp=drive_link,"4 Kamar tidur, free 2 extrabed, 3 Kamar mandi, kolam renang, wifi, karaoke, dapur lengkap",Belum Lengkap,
3,Sea Villa 1,Rp 1.000.000,Rp 1.500.000,10-12,https://drive.google.com/drive/folders/1-UModzUaAQfZy60WocneW2n15OWr11Op?usp=drive_link,"3 Kamar tidur, 3 Kamar mandi dalam, kolam renang, wifi, karaoke, rooftop, PS3, dapur lengkap, bbq tools",Belum Lengkap,
4,Se Villa,Rp 1.500.000,Rp 2.000.000,10-12,https://drive.google.com/drive/folders/1x6PaWP_muGkez_J9QVTupQKLmN4IQ3wR?usp=drive_link,"3 Kamar tidur, AC, 3 Kamar mandi, 1 Kamar tambahan, kolam renang, wifi, karaoke, dapur lengkap, rooftop view",Belum Lengkap,
5,,,,,,,Belum Lengkap,
6,,,,,,,Belum Lengkap,
7,,,,,,,Belum Lengkap,
8,,,,,,,Belum Lengkap,
9,,,,,,,Belum Lengkap,
10,,,,,,,Belum Lengkap,
,,,,,,,,
Catatan Pengisian,Harga ditulis angka saja; format Rupiah otomatis. Link Drive ditempel di kolom Galeri Google Drive.,,,,,,,
Contoh fasilitas,"Private pool, 2 kamar, AC, dapur, WiFi, BBQ, parkir",,,,,,,
,,,,,,,,
Legenda Warna,"Biru = isi manual, Kuning = harga, Hijau = link galeri, Ungu = fasilitas, Abu = status otomatis.",,,,,,,
Tips,Isi semua kolom dari Nama Vila sampai Fasilitas agar Status Data berubah menjadi Lengkap.,,,,,,,
